State,Year,Month,Day,Rainfall (mm)
Johor,2015,5,21,0.02
Johor,2015,5,22,0.00
Johor,2015,5,23,0.00
Johor,2015,5,24,0.00
Johor,2015,5,25,0.00
Johor,2015,5,26,1.20
Johor,2015,5,27,0.00
Johor,2015,5,28,0.00
Johor,2015,5,29,0.23
Johor,2015,5,30,0.00
Johor,2015,5,31,0.02
Johor,2015,6,1,0.00
Johor,2015,6,2,0.00
Johor,2015,6,3,0.03
Johor,2015,6,4,0.01
Johor,2015,6,5,0.01
Johor,2015,6,6,0.02
Johor,2015,6,7,0.00
Johor,2015,6,8,0.00
Johor,2015,6,9,0.00
Johor,2015,6,10,0.00
Johor,2015,6,11,0.00
Johor,2015,6,12,0.00
Johor,2015,6,13,0.00
Johor,2015,6,14,0.00
Johor,2015,6,15,0.79
Johor,2015,6,16,0.00
Johor,2015,6,17,0.00
Johor,2015,6,18,0.00
Johor,2015,6,19,0.00
Johor,2015,6,20,0.00
Johor,2015,6,21,0.02
Johor,2015,6,22,0.00
Johor,2015,6,23,0.01
Johor,2015,6,24,0.00
Johor,2015,6,25,0.00
Johor,2015,6,26,0.00
Johor,2015,6,27,0.00
Johor,2015,6,28,0.70
Johor,2015,6,29,0.19
Johor,2015,6,30,0.00
Johor,2015,7,1,2.57
Johor,2015,7,2,4.99
Johor,2015,7,3,1.55
Johor,2015,7,4,1.60
Johor,2015,7,5,0.39
Johor,2015,7,6,1.03
Johor,2015,7,7,0.00
Johor,2015,7,8,0.00
Johor,2015,7,9,0.00
Johor,2015,7,10,0.00
Johor,2015,7,11,0.00
Johor,2015,7,12,0.05
Johor,2015,7,13,0.02
Johor,2015,7,14,1.22
Johor,2015,7,15,1.46
Johor,2015,7,16,0.00
Johor,2015,7,17,0.22
Johor,2015,7,18,0.00
Johor,2015,7,19,0.05
Johor,2015,7,20,0.01
Johor,2015,7,21,0.00
Johor,2015,7,22,0.12
Johor,2015,7,23,0.01
Johor,2015,7,24,0.60
Johor,2015,7,25,0.20
Johor,2015,7,26,0.02
Johor,2015,7,27,0.00
Johor,2015,7,28,0.00
Johor,2015,7,29,0.14
Johor,2015,7,30,0.56
Johor,2015,7,31,1.15
Johor,2015,8,1,0.57
Johor,2015,8,2,0.00
Johor,2015,8,3,0.00
Johor,2015,8,4,0.00
Johor,2015,8,5,0.43
Johor,2015,8,6,0.38
Johor,2015,8,7,0.04
Johor,2015,8,8,0.00
Johor,2015,8,9,11.25
Johor,2015,8,10,4.72
Johor,2015,8,11,0.12
Johor,2015,8,12,0.40
Johor,2015,8,13,0.03
Johor,2015,8,14,2.17
Johor,2015,8,15,0.34
Johor,2015,8,16,0.13
Johor,2015,8,17,0.47
Johor,2015,8,18,0.00
Johor,2015,8,19,0.04
Johor,2015,8,20,0.13
Johor,2015,8,21,0.03
Johor,2015,8,22,0.00
Johor,2015,8,23,0.19
Johor,2015,8,24,0.00
Johor,2015,8,25,0.00
Johor,2015,8,26,0.08
Johor,2015,8,27,0.00
Johor,2015,8,28,0.02
Johor,2015,8,29,0.16
Johor,2015,8,30,0.00
Johor,2015,8,31,0.28
Johor,2015,9,1,1.15
Johor,2015,9,2,0.30
Johor,2015,9,3,0.43
Johor,2015,9,4,0.44
Johor,2015,9,5,0.24
Johor,2015,9,6,0.18
Johor,2015,9,7,0.71
Johor,2015,9,8,0.09
Johor,2015,9,9,0.55
Johor,2015,9,10,0.52
Johor,2015,9,11,0.09
Johor,2015,9,12,0.00
Johor,2015,9,13,0.29
Johor,2015,9,14,0.29
Johor,2015,9,15,0.00
Johor,2015,9,16,0.51
Johor,2015,9,17,15.13
Johor,2015,9,18,4.42
Johor,2015,9,19,0.01
Johor,2015,9,20,0.00
Johor,2015,9,21,0.00
Johor,2015,9,22,0.25
Johor,2015,9,23,0.24
Johor,2015,9,24,1.01
Johor,2015,9,25,1.66
Johor,2015,9,26,1.51
Johor,2015,9,27,1.21
Johor,2015,9,28,0.20
Johor,2015,9,29,0.42
Johor,2015,9,30,3.69
Johor,2015,10,1,1.51
Johor,2015,10,2,0.07
Johor,2015,10,3,0.09
Johor,2015,10,4,0.26
Johor,2015,10,5,0.03
Johor,2015,10,6,2.47
Johor,2015,10,7,0.89
Johor,2015,10,8,1.10
Johor,2015,10,9,0.11
Johor,2015,10,10,0.05
Johor,2015,10,11,0.02
Johor,2015,10,12,0.00
Johor,2015,10,13,0.00
Johor,2015,10,14,0.17
Johor,2015,10,15,0.43
Johor,2015,10,16,0.02
Johor,2015,10,17,0.20
Johor,2015,10,18,0.09
Johor,2015,10,19,2.25
Johor,2015,10,20,1.30
Johor,2015,10,21,4.64
Johor,2015,10,22,7.49
Johor,2015,10,23,0.84
Johor,2015,10,24,0.22
Johor,2015,10,25,3.28
Johor,2015,10,26,0.79
Johor,2015,10,27,5.95
Johor,2015,10,28,29.25
Johor,2015,10,29,0.00
Johor,2015,10,30,1.67
Johor,2015,10,31,4.21
Johor,2015,11,1,1.32
Johor,2015,11,2,2.60
Johor,2015,11,3,5.13
Johor,2015,11,4,14.98
Johor,2015,11,5,0.78
Johor,2015,11,6,1.11
Johor,2015,11,7,0.02
Johor,2015,11,8,1.60
Johor,2015,11,9,24.52
Johor,2015,11,10,32.64
Johor,2015,11,11,0.75
Johor,2015,11,12,2.36
Johor,2015,11,13,0.19
Johor,2015,11,14,0.06
Johor,2015,11,15,0.00
Johor,2015,11,16,0.31
Johor,2015,11,17,1.14
Johor,2015,11,18,1.63
Johor,2015,11,19,1.36
Johor,2015,11,20,0.26
Johor,2015,11,21,0.17
Johor,2015,11,22,0.17
Johor,2015,11,23,1.41
Johor,2015,11,24,17.50
Johor,2015,11,25,0.63
Johor,2015,11,26,0.02
Johor,2015,11,27,0.98
Johor,2015,11,28,0.18
Johor,2015,11,29,0.04
Johor,2015,11,30,0.18
Johor,2015,12,1,0.47
Johor,2015,12,2,2.33
Johor,2015,12,3,1.63
Johor,2015,12,4,2.27
Johor,2015,12,5,1.29
Johor,2015,12,6,0.12
Johor,2015,12,7,0.01
Johor,2015,12,8,0.01
Johor,2015,12,9,0.02
