State,Year,Month,Day,Rainfall (mm)
Johor,2016,2,18,20.22
Johor,2016,2,19,13.15
Johor,2016,2,20,10.19
Johor,2016,2,21,8.23
Johor,2016,2,22,10.29
Johor,2016,2,23,7.89
Johor,2016,2,24,16.78
Johor,2016,2,25,26.38
Johor,2016,2,26,28.15
Johor,2016,2,27,32.07
Johor,2016,2,28,36.63
Johor,2016,2,29,46.86
Johor,2016,3,1,49.89
Johor,2016,3,2,21.82
Johor,2016,3,3,9.07
Johor,2016,3,4,13.60
Johor,2016,3,5,8.10
Johor,2016,3,6,7.14
Johor,2016,3,7,8.15
Johor,2016,3,8,13.19
Johor,2016,3,9,8.40
Johor,2016,3,10,5.64
Johor,2016,3,11,9.36
Johor,2016,3,12,21.69
Johor,2016,3,13,7.80
Johor,2016,3,14,2.09
Johor,2016,3,15,9.76
Johor,2016,3,16,7.75
Johor,2016,3,17,4.00
Johor,2016,3,18,2.90
Johor,2016,3,19,3.68
Johor,2016,3,20,3.15
Johor,2016,3,21,7.27
Johor,2016,3,22,3.48
Johor,2016,3,23,4.85
Johor,2016,3,24,10.34
Johor,2016,3,25,3.30
Johor,2016,3,26,2.51
Johor,2016,3,27,4.71
Johor,2016,3,28,3.20
Johor,2016,3,29,2.43
Johor,2016,3,30,2.51
Johor,2016,3,31,1.90
Johor,2016,4,1,1.92
Johor,2016,4,2,2.13
Johor,2016,4,3,1.98
Johor,2016,4,4,8.18
Johor,2016,4,5,7.87
Johor,2016,4,6,9.10
Johor,2016,4,7,6.92
Johor,2016,4,8,8.35
Johor,2016,4,9,2.90
Johor,2016,4,10,8.39
Johor,2016,4,11,28.65
Johor,2016,4,12,30.33
Johor,2016,4,13,34.60
Johor,2016,4,14,19.32
Johor,2016,4,15,15.37
Johor,2016,4,16,10.31
Johor,2016,4,17,3.50
Johor,2016,4,18,0.83
Johor,2016,4,19,3.44
Johor,2016,4,20,2.73
Johor,2016,4,21,1.65
Johor,2016,4,22,2.18
Johor,2016,4,23,5.02
Johor,2016,4,24,5.38
Johor,2016,4,25,2.90
Johor,2016,4,26,1.91
Johor,2016,4,27,6.55
Johor,2016,4,28,13.12
Johor,2016,4,29,6.98
Johor,2016,4,30,4.17
Johor,2016,5,1,3.26
Johor,2016,5,2,1.34
Johor,2016,5,3,7.18
Johor,2016,5,4,8.67
Johor,2016,5,5,6.63
Johor,2016,5,6,5.03
Johor,2016,5,7,1.24
Johor,2016,5,8,3.48
Johor,2016,5,9,0.39
Johor,2016,5,10,0.99
Johor,2016,5,11,1.77
Johor,2016,5,12,3.04
Johor,2016,5,13,1.75
Johor,2016,5,14,2.16
Johor,2016,5,15,1.81
Johor,2016,5,16,2.41
Johor,2016,5,17,2.49
Johor,2016,5,18,7.97
Johor,2016,5,19,5.77
Johor,2016,5,20,2.18
Johor,2016,5,21,4.67
Johor,2016,5,22,5.23
Johor,2016,5,23,1.23
Johor,2016,5,24,1.45
Johor,2016,5,25,3.07
